geneID,Ribo_Mock_RPKM_AVG,Ribo_IC_RPKM_AVG,RNA_Mock_RPKM_AVG,RNA_IC_RPKM_AVG,RNAlog2fc,RNA_adjp,Ribolog2fc,Ribo_adjp,TE_Mock,TE_IC,log2_TEfc
AT1G01040,2.116494867,1.976589293,3.153314396,2.235973712,-0.447184385,0.345748883,-0.016548759,0.996883172,0.671196906,0.883994871,0.397301933
AT1G01050,11.75257668,4.557399883,34.97022769,31.28827207,-0.029149625,0.983118348,-0.923999214,0.484674152,0.336073782,0.145658407,-1.206189022
AT1G01060,22.32546042,15.76560275,55.63797486,42.80674102,-0.247976503,0.40049427,-0.454004873,0.309085439,0.401262995,0.368297198,-0.123677695
AT1G01080,12.57116771,11.78522208,30.40238636,30.72042603,0.295544026,0.485945399,-0.017989181,0.996883172,0.413492795,0.383628211,-0.108153375
AT1G01090,39.48403779,37.75521441,95.62941477,100.837926,0.08710171,0.843204116,0.164208907,0.912813822,0.412885908,0.374414825,-0.141105621
AT1G01100,11.7715654,11.59473215,108.5975638,63.70771637,-0.481757247,0.169562491,0.158814811,0.97690286,0.10839622,0.181998866,0.747615017
AT1G01120,31.14419046,31.95326758,37.5796294,48.49206014,0.390989632,0.338331372,0.07772423,0.97421589,0.828751932,0.658938133,-0.330797309
AT1G01140,23.47179141,16.59923208,64.76340721,46.81867935,-0.539058764,9.4408E-05,-0.49487521,0.432483178,0.362423665,0.354542937,-0.031716807
AT1G01160,2.728690605,1.443791853,10.30591214,5.207399507,-0.54995552,0.726403463,-0.143407555,0.987703677,0.264769442,0.277257747,0.066491145
AT1G01170,5.70129532,10.54397373,33.70912527,39.08203667,-0.136893401,0.920287067,0.485276711,0.899651201,0.169132105,0.269790795,0.673690581
AT1G01260,6.009957368,4.580506346,10.82147287,13.99716708,0.416184643,0.253211348,-0.172333921,0.967739344,0.555373325,0.327245243,-0.763085664
AT1G01300,14.69912642,15.3052495,31.75444034,32.10420403,0.101712324,0.88560868,-0.037223726,0.989950827,0.462899874,0.476736613,0.04249226
AT1G01320,20.00684436,19.37695862,22.30999601,20.58532126,-0.026377385,0.95445,-0.047717742,0.978293689,0.896765932,0.941299792,0.069922805
AT1G01340,1.935227399,3.072175951,6.076237951,10.95212417,0.936356168,0.012561042,0.649035097,0.756805985,0.318491049,0.280509598,-0.18320269
AT1G01440,2.434558148,3.743973291,6.225329206,9.471429141,0.792340709,0.103084246,0.56836436,0.786434957,0.391072997,0.395291274,0.015478185
AT1G01470,43.30309814,65.7605342,374.6318821,372.5918046,0.103595716,0.839515142,0.662650385,0.121730697,0.115588395,0.176494849,0.610629512
AT1G01490,8.680949831,3.174407814,23.11680077,9.505418001,-1.03865339,0.068551957,-0.771752272,0.69286726,0.375525572,0.33395773,-0.169245648
AT1G01500,2.224779178,1.239414269,5.465007932,5.203759364,-0.171949031,0.945678116,-0.693132686,0.823006316,0.407095325,0.238176707,-0.773334324
AT1G01510,2.377703385,1.155064539,8.068953538,10.68453598,0.518102479,0.452431365,-0.670318857,0.80144117,0.294673079,0.108106196,-1.446666055
AT1G01540,8.941688345,5.084362313,16.77466672,16.43911329,-0.336769751,0.507917194,-0.464592169,0.836101519,0.533047154,0.309284462,-0.785328803
AT1G01550,52.81835135,70.94661726,137.8874136,174.7766318,0.446653572,0.000156802,0.590432001,0.012271273,0.383054189,0.405927363,0.083673096
AT1G01560,5.127583105,22.08274047,11.32877337,62.38821475,2.162716799,2.13998E-31,1.988882544,1.73257E-10,0.452615913,0.353956922,-0.354713519
AT1G01610,8.597857341,5.648581135,16.86774079,15.15002662,-0.123258388,0.922141838,-0.591301525,0.69286726,0.509721927,0.372842984,-0.451142222
AT1G01620,53.61768047,48.01323368,150.9432624,138.5392508,-0.049683559,0.931920865,-0.107927785,0.952200702,0.355217448,0.34656773,-0.035565121
AT1G01630,4.402543168,4.149840866,15.61141281,8.278032533,-0.558754932,0.689405076,0.253849389,0.961585417,0.282007991,0.50130763,0.829960146
AT1G01650,6.632541863,9.693420953,15.57794781,12.16613302,-0.504565282,0.380177223,0.550082652,0.609575028,0.425764802,0.796754477,0.904078533
AT1G01710,2.920825023,2.593130805,8.688776419,8.199148914,0.202564261,0.820976245,-0.259444317,0.964026953,0.336160684,0.31626829,-0.088002089
AT1G01720,19.4185649,10.55349306,54.61767782,54.68687954,-0.093483931,0.822774047,-0.840439051,0.150287906,0.35553626,0.192980348,-0.881542762
AT1G01730,1.773095012,2.016555098,12.91604874,8.344434311,-0.366113341,0.68971385,0.438235349,0.932868832,0.137278439,0.241664686,0.815901615
AT1G01790,22.20721704,23.35731089,35.36171538,36.45876603,0.126590327,0.668732232,0.07684137,0.960600801,0.628001691,0.640650067,0.028768106
AT1G01800,8.770439331,7.070887607,30.88619462,30.12440827,0.01440369,0.991878792,-0.223617412,0.959797336,0.283959854,0.234722871,-0.274728555
AT1G01820,5.708299806,3.410143757,13.19488786,6.846860898,-0.564635141,0.464545861,-0.612439335,0.844904665,0.432614499,0.498059448,0.203235932
AT1G01950,3.585227474,2.542208849,6.131563302,7.260136677,0.265418153,0.805395438,-0.383149378,0.899651201,0.584716702,0.350159916,-0.739723859
AT1G01960,6.585182868,6.79518088,8.876051351,6.696483479,-0.205366083,0.641240067,0.101426031,0.96893317,0.741904548,1.014738691,0.451802772
AT1G01970,6.931615461,1.862666496,6.73367083,5.165576626,-0.456057043,0.587212334,-1.264898126,0.196973345,1.029396244,0.360592172,-1.51335844
AT1G02000,2.047392096,2.518816925,8.679948789,3.239308842,-0.502515665,0.728026115,0.12661455,0.987703677,0.235876057,0.777578504,1.720959353
AT1G02020,2.064742613,2.361115598,5.093737357,4.163198506,-0.312149005,0.815070933,0.219412585,0.970346925,0.405349249,0.567139807,0.484538951
AT1G02080,7.808192681,7.275539162,5.367957867,3.574686378,-0.39794908,0.524462028,-0.099480532,0.958977185,1.454592766,2.035294399,0.484622184
AT1G02090,2.626368142,1.291741572,9.902256829,11.27880607,-0.091911418,0.9623178,-0.576639211,0.902879025,0.265229249,0.114528219,-1.211536769
AT1G02100,2.51941795,4.398356179,7.426362396,8.67353403,0.179136668,0.959145928,0.284092665,0.953728363,0.3392533,0.507100815,0.579909745
AT1G02120,4.335450528,3.156867056,10.20799336,11.63178671,0.083204428,0.932731802,-0.443524984,0.862769898,0.424711339,0.271400012,-0.646061841
AT1G02130,4.356394957,4.63621344,15.97190335,15.78112779,0.303888525,0.787177807,0.559803163,0.846328658,0.272753651,0.293782137,0.107148166
AT1G02140,8.450866105,5.470915338,43.66657014,34.1967937,0.018317035,0.989721267,-0.653465736,0.754869778,0.193531713,0.159983283,-0.274648824
AT1G02150,10.05294811,6.445616959,39.56186303,27.05369496,-0.32877595,0.577706476,-0.498401126,0.694972648,0.254107045,0.23825274,-0.092943566
AT1G02170,8.501809432,18.63941983,29.97482984,73.84074656,1.308487664,5.98407E-12,1.032726136,0.021654988,0.283631616,0.252427294,-0.168150447
AT1G02205,11.95395421,10.36140797,19.44460072,12.06926504,-0.405288223,0.466885477,0.0599711,0.987703677,0.614769847,0.858495355,0.481763922
AT1G02270,9.079780297,10.62955317,14.72504374,22.81081257,0.698323514,0.214146034,0.29243642,0.901612329,0.616621618,0.465987485,-0.404094262
AT1G02280,4.303422567,3.996950392,22.73723335,20.03170325,-0.127076489,0.941791982,-0.056120097,0.993235243,0.189267643,0.19953123,0.076186781
AT1G02305,3.883527525,3.514483439,7.911879333,8.01328144,0.236291396,0.796172437,-0.234019726,0.968936277,0.490847669,0.438582304,-0.162427759
AT1G02335,4.43517329,4.447712852,7.880670418,11.6693451,0.60386724,0.629612036,-0.000193241,0.999997657,0.562791369,0.381145027,-0.56226015
AT1G02360,5.232612965,31.04982921,11.95720772,78.44959023,2.745121458,2.59783E-35,2.720185976,2.5536E-16,0.437611614,0.395793389,-0.14490351
AT1G02400,17.69101885,36.09722437,69.26236064,168.7737858,1.420831644,2.8888E-32,1.273590367,9.79044E-06,0.255420385,0.213879331,-0.256076605
AT1G02410,4.441567945,2.470365391,7.30547142,5.393972251,-0.24958162,0.867762084,-0.493263023,0.901612329,0.607978279,0.457986299,-0.408715342
AT1G02475,8.852913236,8.317023003,17.25520999,35.75934337,0.907666396,0.010955473,0.190992266,0.970346925,0.513057404,0.232583214,-1.141373274
AT1G02500,29.81040614,17.99971365,96.56096372,107.205254,0.111189582,0.736183132,-0.468777461,0.352181144,0.308721092,0.167899548,-0.878705708
AT1G02560,37.34933867,28.19317156,115.8384441,134.400433,0.184332086,0.639258146,-0.350561881,0.593416806,0.322426108,0.209769946,-0.620160573
AT1G02610,2.957757482,2.363242973,15.00595681,5.186891635,-1.074111893,0.056573111,-0.660464252,0.821705988,0.197105557,0.455618343,1.208857377
AT1G02640,16.77898121,17.9204638,26.34285283,21.17441265,-0.204166474,0.454968943,0.112950795,0.961585417,0.636946246,0.84632637,0.410042497
AT1G02660,44.77821822,44.58148108,91.15351144,88.78340398,0.07492555,0.793608884,0.044344005,0.977375972,0.491239641,0.502137551,0.031655634
AT1G02780,39.03892436,28.40167635,235.9781651,218.0110079,-0.173233176,0.497893815,-0.26718222,0.812440125,0.165434477,0.130276341,-0.344684827
AT1G02840,4.366794456,2.996003031,15.7393778,14.90313517,0.116994249,0.932342549,-0.584552005,0.782756329,0.277443906,0.201031729,-0.464772895
AT1G02870,3.164450756,3.228395345,6.658166171,4.608556383,-0.488123558,0.779192002,-0.053710103,0.993885949,0.475273623,0.700522046,0.559672118
AT1G02890,4.601474249,3.529298333,6.48572643,7.412389957,0.252456114,0.782154576,-0.283058347,0.901612329,0.70947708,0.476135005,-0.575385378
AT1G02910,5.979848848,4.797659493,16.4668726,12.65516312,-0.150820522,0.850853888,-0.028179961,0.995430869,0.363144174,0.379106887,0.06206223
AT1G02920,3.144358936,15.19029677,25.7956561,75.3762267,1.784957722,3.31642E-24,2.216355022,1.03533E-06,0.121894901,0.201526362,0.725330802
AT1G02930,7.213146123,29.89951853,57.31131557,161.6671336,1.761616144,3.41252E-27,1.994787121,1.33377E-13,0.125859022,0.184944941,0.555287203
AT1G03060,3.429146639,3.8220542,3.428635084,4.179148855,0.176261589,0.71982274,0.148968047,0.922491402,1.000149201,0.914553258,-0.129076144
AT1G03080,3.829612184,3.738081221,4.685068299,3.00576877,-0.460727895,0.42164011,-0.041199315,0.990516992,0.817407974,1.243635658,0.605435666
AT1G03090,7.500636473,5.80234019,21.08785158,19.44886142,-0.007142139,0.995296217,-0.276204457,0.909134977,0.355685189,0.298338297,-0.253651716
AT1G03130,160.7688078,123.4120811,683.917271,441.2470503,-0.493971511,0.322296902,-0.249785402,0.598051705,0.235070548,0.279689306,0.250731295
AT1G03140,4.048867406,2.945564256,11.36868482,10.62863513,-0.181967475,0.93594647,-0.245569289,0.957770699,0.35614211,0.277134761,-0.361865352
AT1G03160,3.143069594,3.249288454,7.991699357,8.385692239,0.218612981,0.698906829,0.109613202,0.984477763,0.393291771,0.387480051,-0.021477965
AT1G03220,24.88184646,74.82230739,58.61831007,278.6827077,2.326562753,2.20148E-73,1.679461687,4.67136E-18,0.424472258,0.268485648,-0.660825298
AT1G03230,2.225978971,7.68884228,8.719873807,41.32145194,2.005790647,5.52052E-30,1.870861608,0.00073248,0.255276512,0.186073865,-0.456185364
AT1G03250,5.827544035,4.138124938,6.344570238,2.388004375,-0.506532824,0.69614873,-0.314256363,0.938037002,0.918508869,1.732879965,0.915806166
AT1G03280,2.864068394,1.311498646,5.406547721,5.843753641,0.39289731,0.756864951,-0.894429352,0.563828357,0.529740704,0.224427436,-1.239037311
AT1G03290,2.307970144,3.523117599,6.139765089,7.524786075,0.667589867,0.417979253,0.433264784,0.906973926,0.375905285,0.468201696,0.316760961
AT1G03310,2.120735937,2.67843416,4.13411341,3.651249218,-0.100179355,0.961547121,0.301681253,0.936325889,0.51298446,0.733566514,0.51601266
AT1G03350,4.059419308,6.046499156,9.275927238,10.56518382,0.174663518,0.851052069,0.255489293,0.937980091,0.43762949,0.572304208,0.387072255
AT1G03370,9.358821317,25.64644454,14.44339066,39.34563087,1.5369605,1.84727E-43,1.459399844,1.83989E-12,0.647965671,0.651824459,0.008566107
AT1G03380,3.367730619,2.534551784,5.89684024,6.45550265,0.346408156,0.595955717,-0.478212802,0.808039381,0.571107658,0.392618812,-0.540633429
AT1G03400,6.987867164,4.765788694,23.70620915,15.6610579,-0.793500503,0.064076747,-0.618863622,0.7228291,0.294769489,0.304308223,0.045946114
AT1G03475,15.51759533,15.97917022,45.21201784,40.33622743,-0.117479755,0.881080612,-0.212975639,0.922062997,0.343218376,0.396149349,0.206917633
AT1G03520,2.689858505,1.963945749,8.200983265,8.455608648,0.103821013,0.938845856,-0.048961492,0.993235243,0.327992195,0.23226545,-0.497886919
AT1G03590,3.154388088,2.159615617,7.705100637,2.073328601,-1.385914011,0.005946633,-0.543989661,0.877055808,0.409389603,1.041617627,1.3472794
AT1G03600,97.62077425,71.15988552,536.4130886,468.8219509,-0.084544301,0.840319859,-0.104994547,0.938037002,0.181988054,0.151784458,-0.261819685
AT1G03610,6.32370974,9.286597339,30.77599256,34.68740676,0.198930527,0.633216783,0.133874465,0.957926244,0.205475412,0.267722445,0.38177233
AT1G03630,20.50908082,17.23770817,63.33083724,48.41218222,-0.301404446,0.113634617,-0.141823909,0.953728363,0.323840355,0.356061375,0.136843166
AT1G03680,71.83725805,64.17909006,332.9488446,258.382796,-0.365892442,0.00024991,0.177651063,0.891081568,0.215760647,0.248387629,0.20316157
AT1G03730,2.880906719,3.970633693,14.36997034,20.16511742,0.904878732,0.05733738,0.226925625,0.971959027,0.200481048,0.196906054,-0.025958399
AT1G03740,16.65155725,40.41839734,21.92507588,44.86423684,1.13397244,3.22499E-06,1.3162287,6.25101E-11,0.759475467,0.9009046,0.246370979
AT1G03860,4.915906442,4.235415677,19.60773832,17.64247548,0.115070028,0.960313888,0.037248907,0.993889967,0.250712569,0.24006924,-0.062583761
AT1G03870,21.32227052,16.21254832,81.57954212,93.90380977,0.323597309,0.119920468,-0.339565992,0.860339978,0.261367862,0.172650592,-0.59822648
AT1G03930,2.776164832,3.359221147,11.19378339,9.406451473,-0.245757191,0.789751742,0.291530156,0.943845246,0.248009519,0.357118852,0.526008799
AT1G04040,6.344901116,4.947598684,18.8469616,16.22961612,-0.28996634,0.828044294,-0.543270637,0.812507089,0.336653793,0.304850013,-0.143166114
AT1G04080,4.156697099,6.390583244,17.79499429,20.3114878,0.275131127,0.547057316,0.709018449,0.49963078,0.233587998,0.314629007,0.429685535
AT1G04120,2.953396082,2.863251664,3.659312111,2.999623786,-0.204186047,0.856595757,-0.082095712,0.987121396,0.807090511,0.954536925,0.242070533
AT1G04140,5.759827866,5.102525697,14.84342685,8.643792236,-0.571422808,0.089946545,-0.085253337,0.987459256,0.388038956,0.590311007,0.605273746
AT1G04170,12.21072405,10.72573939,19.82191418,18.11685131,-0.103299145,0.943262951,-0.022863411,0.994887425,0.616021437,0.592031099,-0.057307594
AT1G04200,4.487528904,5.160184428,10.04592655,6.291908214,-0.584433286,0.128751489,0.362283154,0.877055808,0.446701345,0.820130277,0.8765425
AT1G04210,6.05542993,4.582687515,10.76424776,6.940237609,-0.615212957,0.09102178,-0.414049893,0.747006029,0.562550218,0.660307006,0.231155062
AT1G04250,12.04749124,12.94548728,17.49585815,12.10192499,-0.123853884,0.92932035,0.170988205,0.970027316,0.688591044,1.069704803,0.6354934
AT1G04260,5.138038142,1.748212441,12.14633971,14.19199984,0.104142155,0.971309347,-1.033490601,0.637202875,0.423011233,0.123182952,-1.779893364
AT1G04270,29.43678492,28.64725624,173.4472017,119.8807316,-0.458345282,0.01617781,0.013628897,0.996883172,0.169716113,0.238964643,0.493673631
AT1G04280,1.87127745,2.152390363,6.640464625,4.682710932,-0.233527201,0.839515142,0.194125533,0.976064811,0.281799175,0.459646217,0.70585648
AT1G04300,2.7274076,3.011054438,7.943358039,7.9815159,0.078547425,0.931157583,0.217765753,0.953728363,0.343357002,0.377253454,0.135824725
AT1G04350,5.47414902,4.109587411,16.63720224,13.88928996,-0.127214136,0.915784563,0.165255235,0.972259272,0.329030623,0.295881749,-0.153201153
AT1G04400,10.85390931,9.754812318,25.0154636,22.61159206,-0.069569776,0.92005305,0.01472945,0.996883172,0.433887993,0.431407585,-0.008271123
AT1G04410,54.62493062,54.97819816,250.3315783,242.2228928,0.066440423,0.835153443,0.042923074,0.985750099,0.218210307,0.226973584,0.056805153
AT1G04420,14.13794952,11.65467921,44.19363037,35.99188241,-0.256616083,0.441658911,-0.041665211,0.992589008,0.319909213,0.323814106,0.01750329
AT1G04430,14.96742662,13.45050906,45.79521542,36.77266135,-0.21453904,0.559876274,-0.177687309,0.917987537,0.326833851,0.365774697,0.162397862
AT1G04440,9.508008386,7.070229552,19.46663112,13.94109854,-0.568637623,0.18657913,-0.218788518,0.936826375,0.48842598,0.507150102,0.054272866
AT1G04480,18.63872992,17.00970388,114.3538802,111.4839049,0.018019836,0.983953622,-0.075152118,0.987703677,0.16299167,0.152575422,-0.095275651
AT1G04510,4.670350069,3.579376146,7.86753048,12.73951543,0.636198716,0.449451709,-0.175768858,0.970346925,0.593623384,0.280966428,-1.079150167
AT1G04530,22.57325689,26.02952083,35.22187956,35.5196506,0.03528701,0.983280974,0.03657627,0.991004798,0.640887345,0.732820295,0.193388675
AT1G04630,5.409628687,1.774490934,30.7642913,9.622694391,-0.919965676,0.460276045,-0.719957139,0.771567415,0.175841161,0.184406868,0.068619574
AT1G04640,5.070250083,3.613249734,11.93998047,15.91196872,0.516286994,0.525874735,-0.513063756,0.903793593,0.424644755,0.227077478,-0.903071805
AT1G04680,21.22394082,21.48155522,51.02566199,50.9448333,0.031303689,0.981964984,0.079402292,0.977375972,0.415946408,0.421663078,0.019693042
AT1G04690,3.053418335,4.932847258,16.99235329,11.66753519,-0.613896174,0.258066205,0.488142621,0.877055808,0.179693671,0.422784005,1.234381204
AT1G04710,4.862537777,1.746346985,3.751436549,4.039714403,0.16073119,0.933211169,-0.915514088,0.640332872,1.2961802,0.432294665,-1.584179364
AT1G04750,2.713108557,5.747333014,14.43540131,17.64676274,0.222318103,0.876321818,0.352515378,0.922062997,0.18794826,0.325687669,0.793153538
AT1G04780,3.698338989,4.00763611,10.02037891,8.076612894,-0.056757257,0.965327504,0.07790297,0.987703677,0.36908175,0.496202574,0.426988816
AT1G04800,3.558418192,4.739276876,22.14756846,13.39141754,-0.65885291,0.100029872,0.458695129,0.836101519,0.160668572,0.353904048,1.139270511
AT1G04810,2.663700409,2.477397417,5.826061356,7.946860064,0.313261341,0.526809559,-0.058978906,0.989950827,0.457204318,0.311745444,-0.552470555
AT1G04820,4.026060939,2.260709433,9.195344451,3.037333322,-0.667240308,0.014201674,-0.304944909,0.915554809,0.437836882,0.744307323,0.765504944
AT1G04850,4.808287436,4.636769298,13.27202765,10.43966181,-0.245862198,0.801015585,-0.151213513,0.977375972,0.362287328,0.444149378,0.293910625
AT1G04860,2.447285835,3.39173289,6.428831031,4.778906343,-0.36492366,0.650997063,0.469680878,0.860339978,0.380673535,0.709729935,0.898715883
AT1G04940,5.573223022,7.025847545,38.26965443,19.95410642,-0.485477524,0.304948832,0.265303961,0.936826375,0.145630346,0.352100334,1.273675585
AT1G04960,3.146262317,5.399961644,7.596062246,5.114616716,-0.425461064,0.758966982,0.645710737,0.746106802,0.41419649,1.05579009,1.349935798
AT1G05010,56.66827392,34.70450053,148.7067077,109.3592447,-0.341822889,0.069946469,-0.644657838,0.17800649,0.381074094,0.317344004,-0.264023954
AT1G05020,1.612320546,5.056447955,3.448748618,11.62368594,1.787543292,9.09922E-08,1.524287821,0.018618065,0.467508863,0.435012437,-0.103937067
AT1G05120,1.727918316,1.468077676,2.779880636,2.224561256,0.007489739,0.997282424,-0.142273599,0.982744851,0.62158004,0.659940324,0.086395396
AT1G05140,5.934459758,4.281427294,15.60643959,9.891579287,-0.613156779,0.114710564,-0.466568951,0.879698359,0.380257119,0.432835563,0.186843784
AT1G05190,33.74516607,31.91238944,198.5763313,176.1320518,-0.036984465,0.960290386,0.006949238,0.997778221,0.16993549,0.181184453,0.092471987
AT1G05350,2.204646638,1.346119169,10.23321332,11.95234114,0.452916114,0.514163036,-0.10795979,0.987703677,0.215440309,0.112623891,-0.935775299
AT1G05520,1.459311855,2.0962402,3.397622239,3.052946814,0.066118583,0.971989728,0.547531725,0.864081627,0.429509743,0.68662847,0.676838819
AT1G05675,3.063258527,23.20900814,7.888381108,59.19095028,2.728021825,2.724E-29,2.861364923,4.76406E-16,0.388325372,0.392103996,0.013970374
AT1G05805,6.825819804,5.039694521,25.41363677,12.77984385,-0.908442823,0.056141254,-0.351739974,0.917752481,0.268588863,0.394347113,0.554066595
AT1G05850,106.4394212,84.06245728,291.4671669,250.796744,-0.110028336,0.523089174,-0.176938621,0.801633907,0.365184945,0.335181613,-0.123684277
AT1G05940,3.111188282,3.485441332,10.08900275,8.962296742,-0.089251682,0.93607786,0.183794682,0.971959027,0.308374213,0.388900461,0.334718816
AT1G05960,3.108812475,2.035816869,5.498497774,7.587684421,0.582383129,0.195789385,-0.630182946,0.723211452,0.565393059,0.268305422,-1.075377963
AT1G06040,50.35808097,43.52980891,201.1911985,124.5122755,-0.547987562,5.92794E-08,0.110747265,0.953728363,0.250299622,0.349602549,0.482059591
AT1G06110,1.977815335,1.475699077,6.402559242,4.179311252,-0.446703764,0.706257767,-0.339217605,0.953728363,0.308910119,0.353096237,0.192874319
AT1G06130,2.80649827,3.029809817,10.72526846,17.36096894,0.559061132,0.501435513,0.657691622,0.749215808,0.26167161,0.174518475,-0.584377641
AT1G06190,2.758622365,6.301512216,13.49819844,11.97095044,-0.124143258,0.937988427,1.000989221,0.498044092,0.20436967,0.526400326,1.364979275
AT1G06200,6.396324467,5.063795979,13.21861944,8.77539598,0.088695382,0.974983219,-0.092516338,0.988906775,0.483887481,0.577044727,0.254011532
AT1G06210,2.247333798,2.914300427,2.590777686,5.928037081,0.429975375,0.789900028,0.412570396,0.921874278,0.867435986,0.491613056,-0.819234065
AT1G06220,1.269815042,1.427882234,2.551051973,1.285280797,-0.681555334,0.482820266,-0.347740657,0.876460377,0.497761338,1.110949637,1.158267334
AT1G06230,3.360477971,3.407080213,6.650809288,8.678983405,0.412171154,0.656426286,0.181953297,0.970346925,0.505273543,0.392566739,-0.364126696
AT1G06290,2.286641141,2.140438757,6.28063133,5.755653983,-0.0163327,0.991366964,0.069658637,0.989950827,0.36407823,0.371884544,0.030606309
AT1G06360,2.334508316,1.585341888,7.356254143,2.266298877,-1.272586047,0.103674886,-0.139930367,0.987703677,0.317350145,0.699529044,1.140308459
AT1G06390,9.561433191,5.987246547,25.4718017,17.48866691,-0.387371203,0.704530207,-0.362729116,0.906326092,0.375373258,0.342350082,-0.132853518
