"GeneID","genename","AUG_Hairpin","Rmotif","TranslationCat","Ribo_Mock_RPKM_AVG","Ribo_IC_RPKM_AVG","RNA_Mock_RPKM_AVG","RNA_IC_RPKM_AVG","RNAlog2fc","RNA_adjp","Ribolog2fc","Ribo_adjp","TE_Mock","TE_IC","log2_TEfc","Direction"
"AT1G01050","AtPPa1",1,"TRUE","Non DTG",11.75257668,4.557399883,34.97022769,31.28827207,-0.029149625,0.983118348,-0.923999214,0.484674152,0.336073782,0.145658407,-1.206189022,0.0269342305883947
"AT1G01090","PDH-E1",1,"TRUE","Non DTG",39.48403779,37.75521441,95.62941477,100.837926,0.08710171,0.843204116,0.164208907,0.912813822,0.412885908,0.374414825,-0.141105621,0.014302876596931
"AT1G01100","RPP1.1",1,"TRUE","Non DTG",11.7715654,11.59473215,108.5975638,63.70771637,-0.481757247,0.169562491,0.158814811,0.97690286,0.10839622,0.181998866,0.747615017,-0.0765101861301853
"AT1G01120","KCS1",1,"TRUE","Non DTG",31.14419046,31.95326758,37.5796294,48.49206014,0.390989632,0.338331372,0.07772423,0.97421589,0.828751932,0.658938133,-0.330797309,0.0303893680851834
"AT1G01470","AtLEA14",1,"FALSE","Non DTG",43.30309814,65.7605342,374.6318821,372.5918046,0.103595716,0.839515142,0.662650385,0.121730697,0.115588395,0.176494849,0.610629512,0.0686477410917507
"AT1G01490","AtHMP01",1,"TRUE","Non DTG",8.680949831,3.174407814,23.11680077,9.505418001,-1.03865339,0.068551957,-0.771752272,0.69286726,0.375525572,0.33395773,-0.169245648,0.801583113553002
"AT1G01550","BPS1",1,"TRUE","Forwarded",52.81835135,70.94661726,137.8874136,174.7766318,0.446653572,0.000156802,0.590432001,0.012271273,0.383054189,0.405927363,0.083673096,0.263718562269758
"AT1G01790","ATKEA1",1,"TRUE","Non DTG",22.20721704,23.35731089,35.36171538,36.45876603,0.126590327,0.668732232,0.07684137,0.960600801,0.628001691,0.640650067,0.028768106,0.00972737415542799
"AT1G01820","PEX11C",1,"TRUE","Non DTG",5.708299806,3.410143757,13.19488786,6.846860898,-0.564635141,0.464545861,-0.612439335,0.844904665,0.432614499,0.498059448,0.203235932,0.345804770271671
"AT1G02130","ARA-5",1,"FALSE","Non DTG",4.356394957,4.63621344,15.97190335,15.78112779,0.303888525,0.787177807,0.559803163,0.846328658,0.272753651,0.293782137,0.107148166,0.170117757494405
"AT1G02140","HAP1",1,"FALSE","Non DTG",8.450866105,5.470915338,43.66657014,34.1967937,0.018317035,0.989721267,-0.653465736,0.754869778,0.193531713,0.159983283,-0.274648824,-0.0119695547576128
"AT1G02305","AtcathB2",1,"TRUE","Non DTG",3.883527525,3.514483439,7.911879333,8.01328144,0.236291396,0.796172437,-0.234019726,0.968936277,0.490847669,0.438582304,-0.162427759,-0.0552968477480775
"AT1G02335","GL22",1,"TRUE","Non DTG",4.43517329,4.447712852,7.880670418,11.6693451,0.60386724,0.629612036,-0.000193241,0.999997657,0.562791369,0.381145027,-0.56226015,-0.00011669190932484
"AT1G02475",NA,1,"TRUE","Buffered_S",8.852913236,8.317023003,17.25520999,35.75934337,0.907666396,0.010955473,0.190992266,0.970346925,0.513057404,0.232583214,-1.141373274,0.173357261744093
"AT1G02560","CLPP5",1,"TRUE","Non DTG",37.34933867,28.19317156,115.8384441,134.400433,0.184332086,0.639258146,-0.350561881,0.593416806,0.322426108,0.209769946,-0.620160573,-0.0646198027968138
"AT1G03230","SAP1",1,"TRUE","Forwarded",2.225978971,7.68884228,8.719873807,41.32145194,2.005790647,5.52052e-30,1.870861608,0.00073248,0.255276512,0.186073865,-0.456185364,3.75255671515778
"AT1G03475","ATCPO-I",1,"TRUE","Non DTG",15.51759533,15.97917022,45.21201784,40.33622743,-0.117479755,0.881080612,-0.212975639,0.922062997,0.343218376,0.396149349,0.206917633,0.0250203258906884
"AT1G03590",NA,1,"TRUE","Buffered_S",3.154388088,2.159615617,7.705100637,2.073328601,-1.385914011,0.005946633,-0.543989661,0.877055808,0.409389603,1.041617627,1.3472794,0.75392289301904
"AT1G03630","POR",1,"TRUE","Non DTG",20.50908082,17.23770817,63.33083724,48.41218222,-0.301404446,0.113634617,-0.141823909,0.953728363,0.323840355,0.356061375,0.136843166,0.0427463567216994
"AT1G03680","ATHM1",1,"TRUE","Non DTG",71.83725805,64.17909006,332.9488446,258.382796,-0.365892442,0.00024991,0.177651063,0.891081568,0.215760647,0.248387629,0.20316157,-0.0650011812649658
"AT1G03730",NA,1,"FALSE","Non DTG",2.880906719,3.970633693,14.36997034,20.16511742,0.904878732,0.05733738,0.226925625,0.971959027,0.200481048,0.196906054,-0.025958399,0.205340171808307
"AT1G03930","ADK1",1,"FALSE","Non DTG",2.776164832,3.359221147,11.19378339,9.406451473,-0.245757191,0.789751742,0.291530156,0.943845246,0.248009519,0.357118852,0.526008799,-0.0716456322303518
"AT1G04210",NA,1,"TRUE","Non DTG",6.05542993,4.582687515,10.76424776,6.940237609,-0.615212957,0.09102178,-0.414049893,0.747006029,0.562550218,0.660307006,0.231155062,0.254728859018064
"AT1G04250","AtIAA17",1,"FALSE","Non DTG",12.04749124,12.94548728,17.49585815,12.10192499,-0.123853884,0.92932035,0.170988205,0.970027316,0.688591044,1.069704803,0.6354934,-0.0211775533074382
"AT1G04260","MPI1",1,"TRUE","Non DTG",5.138038142,1.748212441,12.14633971,14.19199984,0.104142155,0.971309347,-1.033490601,0.637202875,0.423011233,0.123182952,-1.779893364,-0.107629938360385
"AT1G04270","RPS15",1,"TRUE","Non DTG",29.43678492,28.64725624,173.4472017,119.8807316,-0.458345282,0.01617781,0.013628897,0.996883172,0.169716113,0.238964643,0.493673631,-0.00624674063881395
"AT1G04350",NA,1,"TRUE","Non DTG",5.47414902,4.109587411,16.63720224,13.88928996,-0.127214136,0.915784563,0.165255235,0.972259272,0.329030623,0.295881749,-0.153201153,-0.021022801940002
"AT1G04400","AT-PHH1",1,"TRUE","Non DTG",10.85390931,9.754812318,25.0154636,22.61159206,-0.069569776,0.92005305,0.01472945,0.996883172,0.433887993,0.431407585,-0.008271123,-0.0010247245371032
"AT1G04410","c-NAD-MDH1",1,"TRUE","Non DTG",54.62493062,54.97819816,250.3315783,242.2228928,0.066440423,0.835153443,0.042923074,0.985750099,0.218210307,0.226973584,0.056805153,0.0028518271930203
"AT1G04430",NA,1,"FALSE","Non DTG",14.96742662,13.45050906,45.79521542,36.77266135,-0.21453904,0.559876274,-0.177687309,0.917987537,0.326833851,0.365774697,0.162397862,0.0381208646930434
"AT1G04440","CKL13",1,"TRUE","Non DTG",9.508008386,7.070229552,19.46663112,13.94109854,-0.568637623,0.18657913,-0.218788518,0.936826375,0.48842598,0.507150102,0.054272866,0.124411382815213
"AT1G04530","TPR4",1,"TRUE","Non DTG",22.57325689,26.02952083,35.22187956,35.5196506,0.03528701,0.983280974,0.03657627,0.991004798,0.640887345,0.732820295,0.193388675,0.0012906672052527
"AT1G04710","KAT1",1,"TRUE","Non DTG",4.862537777,1.746346985,3.751436549,4.039714403,0.16073119,0.933211169,-0.915514088,0.640332872,1.2961802,0.432294665,-1.584179364,-0.147151668826005
